-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2022 
Location: Latitude  -11.4528   Longitude -77.122 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2120.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2020,1,1,15.63,11.08,13.35,19.32,-263.6,21.62,12.07
2020,1,2,15.59,10.94,13.26,19.69,-264.6,20.76,12.21
2020,1,3,16.4,10.62,13.51,19.77,-265.2,20.63,12.69
2020,1,4,16.55,9.17,12.87,20.58,-263.98,21.9,12.73
2020,1,5,16.73,7.87,12.3,20.67,-262.34,22.86,12.05
2020,1,6,16.55,8.33,12.44,20.78,-262.19,22.61,11.65
2020,1,7,15.99,9.38,12.69,20.38,-262.15,22.08,11.08
2020,1,8,15.71,10.74,13.23,19.5,-264.82,20.27,11.94
2020,1,9,16.48,10.0,13.24,19.94,-262.54,22.57,11.96
2020,1,10,17.64,9.41,13.52,21.45,-261.85,23.76,12.45
2020,1,11,17.94,9.51,13.73,21.25,-262.68,23.79,13.32
2020,1,12,18.35,9.53,13.94,22.89,-262.5,24.29,13.64
2020,1,13,17.7,9.21,13.45,22.22,-262.25,23.5,12.6
2020,1,14,17.37,10.33,13.85,21.86,-262.45,23.69,12.98
2020,1,15,16.54,10.6,13.57,19.63,-265.81,20.39,13.04
2020,1,16,18.34,10.21,14.27,22.41,-263.52,24.13,14.5
2020,1,17,18.69,9.75,14.23,23.01,-261.28,25.3,13.44
2020,1,18,18.43,8.54,13.48,22.92,-260.7,24.8,12.35
2020,1,19,18.41,10.4,14.4,22.53,-262.31,24.15,13.3
2020,1,20,18.05,11.26,14.65,21.14,-264.46,23.25,14.56
2020,1,21,17.86,10.72,14.29,21.52,-263.4,23.78,14.04
2020,1,22,15.85,11.4,13.63,20.01,-265.51,20.3,12.65
2020,1,23,15.3,11.7,13.5,18.82,-265.65,20.51,13.01
2020,1,24,15.99,11.51,13.76,19.37,-265.01,21.14,13.0
2020,1,25,16.26,10.93,13.59,19.39,-265.68,20.72,13.24
2020,1,26,17.19,9.82,13.51,20.59,-263.68,22.51,13.04
