-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  -11.7583   Longitude -75.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3769.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,1,1,7.73,4.09,5.91,9.47,-264.78,11.99,3.62
1981,1,2,8.81,4.33,6.58,11.04,-260.92,16.69,4.47
1981,1,3,6.9,3.74,5.32,8.62,-263.13,12.48,2.45
1981,1,4,9.23,4.95,7.09,11.4,-261.01,16.13,3.99
1981,1,5,8.08,4.5,6.3,10.05,-261.36,15.19,3.4
1981,1,6,8.87,3.9,6.38,11.23,-258.42,17.03,2.3
1981,1,7,8.71,4.26,6.48,10.87,-263.17,14.41,4.43
1981,1,8,9.08,4.54,6.8,11.33,-261.83,15.64,4.32
1981,1,9,8.93,4.63,6.78,11.05,-263.29,15.02,5.16
1981,1,10,9.45,5.07,7.26,11.51,-262.96,15.67,5.48
1981,1,11,6.7,2.86,4.78,8.87,-260.66,14.92,2.43
1981,1,12,7.93,2.8,5.37,10.31,-259.52,15.83,2.2
1981,1,13,8.3,3.69,6.0,10.27,-260.62,15.36,2.83
1981,1,14,9.07,4.73,6.9,11.12,-261.05,16.1,4.0
1981,1,15,9.25,4.04,6.65,11.39,-262.09,15.6,4.54
1981,1,16,10.73,3.46,7.09,13.42,-257.69,20.3,4.83
1981,1,17,8.62,4.01,6.32,10.97,-259.63,16.36,2.84
1981,1,18,8.23,2.49,5.36,10.92,-258.69,16.9,2.44
1981,1,19,8.9,2.54,5.72,11.62,-260.24,16.67,3.76
1981,1,20,9.58,4.9,7.24,11.98,-260.9,17.01,4.76
1981,1,21,7.91,4.13,6.02,10.23,-260.36,15.24,2.45
1981,1,22,7.73,1.99,4.86,10.4,-258.44,17.15,2.43
1981,1,23,7.94,1.97,4.95,10.89,-258.7,17.62,3.18
1981,1,24,9.61,1.97,5.79,12.08,-260.51,16.83,4.19
1981,1,25,9.4,4.35,6.87,11.68,-262.77,15.45,5.07
1981,1,26,9.21,4.98,7.1,11.26,-263.3,15.25,5.4
1981,1,27,9.8,4.87,7.33,11.97,-261.83,16.53,5.21
1981,1,28,9.08,5.57,7.33,10.73,-265.06,14.55,6.46
1981,1,29,8.29,5.01,6.65,10.06,-263.99,14.21,5.05
1981,1,30,8.51,4.91,6.71,10.36,-262.42,14.6,3.87
1981,1,31,7.14,3.68,5.41,8.78,-264.64,12.28,3.78
1981,2,1,8.35,4.4,6.37,10.37,-262.64,14.68,4.17
1981,2,2,9.71,4.53,7.12,12.22,-260.04,17.26,4.15
1981,2,3,9.58,5.89,7.73,11.46,-262.97,16.11,5.93
1981,2,4,9.72,5.44,7.58,11.92,-261.95,16.55,5.37
1981,2,5,9.2,4.76,6.98,11.58,-262.6,15.33,4.77
1981,2,6,8.65,4.23,6.44,11.14,-263.4,14.55,4.8
1981,2,7,8.11,4.0,6.05,10.04,-264.37,13.4,4.62
1981,2,8,8.41,5.11,6.76,9.99,-265.49,13.1,5.44
1981,2,9,7.91,4.45,6.18,9.68,-264.94,13.01,4.8
1981,2,10,7.77,2.91,5.34,10.44,-259.42,16.43,2.69
1981,2,11,7.44,2.88,5.15,9.53,-260.16,15.25,2.26
1981,2,12,7.62,3.45,5.54,9.68,-259.23,16.1,2.18
1981,2,13,7.42,3.87,5.65,8.89,-262.03,13.18,2.06
1981,2,14,8.28,4.23,6.25,10.09,-264.67,12.75,4.27
1981,2,15,9.46,4.82,7.14,11.88,-261.64,16.15,4.65
1981,2,16,8.76,4.35,6.55,10.98,-264.19,14.01,5.05
1981,2,17,8.51,3.08,5.8,11.45,-259.81,15.98,2.63
1981,2,18,8.68,4.45,6.56,10.48,-264.85,13.27,4.96
1981,2,19,8.6,4.8,6.7,10.57,-263.66,14.37,4.87
1981,2,20,8.19,4.51,6.35,10.25,-263.76,13.86,4.47
