-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/04/2010 through 03/31/2023 
Location: Latitude  -7.0887   Longitude -76.1198 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 593.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2010,1,4,14.83,67.19,9.28,26.14,19.16,22.65,26.12,-264.23,31.09,22.18
2010,1,5,15.5,75.88,6.15,25.19,19.83,22.51,25.15,-263.05,31.68,21.57
2010,1,6,14.34,65.62,0.04,26.53,18.65,22.59,26.52,-260.63,33.63,21.12
2010,1,7,14.16,62.5,0.0,27.19,18.43,22.81,27.08,-260.78,33.65,21.29
2010,1,8,14.71,65.06,0.0,26.75,19.05,22.9,26.69,-262.82,32.14,21.81
2010,1,9,14.34,60.81,0.53,27.62,18.62,23.12,27.62,-262.3,33.83,22.98
2010,1,10,14.34,60.25,0.1,27.7,18.61,23.15,27.71,-262.34,33.37,22.55
2010,1,11,13.55,55.38,0.0,28.29,17.73,23.01,28.3,-261.7,34.5,23.05
2010,1,12,12.76,51.56,0.0,28.86,16.67,22.76,28.85,-261.1,35.4,23.35
2010,1,13,12.39,50.31,0.0,28.59,16.31,22.45,28.59,-259.77,35.44,22.05
2010,1,14,12.76,50.94,0.0,28.71,16.79,22.75,28.71,-261.99,34.52,23.37
2010,1,15,13.67,56.06,0.0,27.94,17.93,22.94,27.94,-264.06,32.8,23.7
2010,1,16,13.67,58.19,2.6,27.32,17.94,22.62,27.3,-264.03,32.4,23.28
2010,1,17,14.04,61.38,0.46,27.32,18.33,22.83,27.29,-261.2,33.65,21.69
2010,1,18,14.04,57.0,0.0,28.3,18.35,23.33,28.29,-262.2,34.05,23.09
2010,1,19,14.1,55.75,0.0,28.8,18.41,23.61,28.8,-261.93,34.58,23.36
2010,1,20,13.92,55.38,0.0,28.35,18.16,23.26,28.35,-264.95,32.59,24.39
2010,1,21,13.98,55.75,0.0,28.38,18.23,23.3,28.35,-263.72,33.19,23.76
2010,1,22,15.87,76.94,12.16,24.82,20.33,22.58,24.8,-267.77,27.5,22.12
2010,1,23,15.01,70.56,2.61,26.0,19.32,22.66,25.95,-261.65,32.59,21.09
2010,1,24,13.67,62.38,0.13,26.52,17.86,22.19,26.48,-261.47,32.45,20.78
2010,1,25,15.26,68.62,3.74,26.33,19.67,23.01,26.32,-264.2,31.26,22.3
2010,1,26,14.65,67.5,0.34,26.17,18.95,22.56,26.19,-263.04,31.9,21.79
2010,1,27,14.34,60.94,0.46,27.55,18.65,23.09,27.56,-261.57,33.65,22.07
2010,1,28,15.5,65.38,2.45,27.51,19.87,23.69,27.51,-262.94,33.04,22.83
2010,1,29,15.62,68.81,0.51,26.86,19.97,23.41,26.86,-263.3,32.45,22.6
2010,1,30,14.47,60.12,0.0,28.03,18.72,23.37,28.0,-261.36,34.3,22.51
2010,1,31,14.28,61.5,0.0,27.26,18.54,22.9,27.23,-262.41,33.39,22.65
