-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2022 
Location: Latitude  -11.7583   Longitude -75.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3769.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2020,1,1,9.06,5.94,7.5,10.23,-264.72,13.86,5.43
2020,1,2,8.99,5.0,6.99,11.05,-260.13,16.16,3.15
2020,1,3,10.26,5.98,8.12,12.23,-261.59,16.92,5.36
2020,1,4,9.72,4.44,7.08,11.73,-259.38,17.1,3.33
2020,1,5,10.52,2.62,6.57,12.54,-258.01,19.15,4.01
2020,1,6,10.47,4.08,7.27,11.92,-259.95,16.96,3.76
2020,1,7,9.08,5.55,7.32,10.12,-264.15,13.87,4.87
2020,1,8,8.74,4.86,6.8,10.3,-262.53,13.72,3.1
2020,1,9,8.32,4.76,6.54,9.63,-264.1,13.37,4.32
2020,1,10,10.36,4.38,7.37,12.83,-258.68,17.86,3.39
2020,1,11,10.33,6.05,8.19,11.98,-263.02,15.69,5.57
2020,1,12,10.26,5.47,7.87,12.19,-264.24,15.51,6.59
2020,1,13,10.61,4.81,7.71,13.21,-261.03,17.35,5.23
2020,1,14,10.84,6.37,8.61,12.97,-262.06,17.08,5.98
2020,1,15,9.39,6.66,8.02,10.48,-265.77,13.8,6.43
2020,1,16,9.65,6.16,7.9,11.42,-262.71,15.9,5.47
2020,1,17,8.75,4.93,6.84,10.3,-263.74,13.83,4.43
2020,1,18,8.17,3.81,5.99,9.87,-261.1,14.16,2.12
2020,1,19,9.86,5.77,7.82,11.83,-261.52,16.51,4.87
2020,1,20,10.53,6.47,8.5,12.17,-263.82,16.21,6.88
2020,1,21,9.06,4.92,6.99,10.77,-262.22,15.08,4.15
2020,1,22,8.98,4.65,6.82,11.0,-259.7,16.32,2.88
2020,1,23,9.62,6.24,7.93,11.0,-264.97,14.38,6.2
2020,1,24,10.39,6.08,8.23,12.41,-262.69,17.15,6.69
2020,1,25,9.73,6.11,7.92,11.22,-263.88,15.28,6.01
2020,1,26,10.44,5.51,7.98,12.18,-262.55,16.55,5.94
2020,1,27,11.08,5.14,8.11,13.07,-260.55,17.87,5.28
2020,1,28,9.47,4.81,7.14,11.48,-258.96,16.77,2.58
2020,1,29,8.47,4.65,6.56,9.95,-260.79,14.95,2.59
2020,1,30,9.76,5.31,7.53,11.87,-260.93,16.73,4.51
2020,1,31,10.25,5.13,7.69,12.5,-261.14,17.09,5.09
2020,2,1,9.5,5.48,7.49,11.38,-264.71,14.3,5.86
2020,2,2,10.34,6.52,8.43,12.28,-262.12,16.8,5.76
2020,2,3,10.26,6.66,8.46,12.05,-261.93,17.03,5.81
2020,2,4,10.59,6.99,8.8,12.26,-263.43,16.75,7.03
2020,2,5,10.08,5.46,7.77,12.25,-259.85,17.69,4.39
2020,2,6,9.46,4.7,7.08,11.38,-260.4,16.33,3.57
2020,2,7,10.15,6.2,8.17,11.83,-261.35,16.58,4.79
2020,2,8,9.4,5.21,7.3,11.36,-259.35,17.39,3.58
2020,2,9,8.55,4.7,6.62,10.27,-259.6,16.16,2.61
2020,2,10,10.48,5.67,8.07,12.79,-260.37,17.76,4.98
2020,2,11,10.3,6.41,8.36,12.17,-263.13,16.32,6.3
2020,2,12,9.54,5.83,7.68,11.08,-261.86,15.67,4.39
2020,2,13,7.23,4.18,5.7,9.05,-262.1,13.77,2.73
2020,2,14,9.08,4.26,6.67,11.22,-259.1,16.79,2.73
2020,2,15,10.65,6.98,8.82,12.26,-262.1,16.64,5.58
2020,2,16,10.74,6.76,8.76,12.44,-262.75,17.04,6.64
2020,2,17,10.94,6.41,8.68,12.59,-262.52,17.08,6.45
2020,2,18,9.69,6.52,8.11,10.94,-266.49,13.79,7.13
2020,2,19,10.34,6.02,8.19,12.1,-262.31,16.48,5.64
2020,2,20,9.96,5.05,7.51,11.65,-261.53,15.55,3.94
2020,2,21,8.39,3.77,6.08,10.14,-259.42,16.37,2.65
2020,2,22,6.13,4.28,5.2,7.0,-264.69,10.82,2.36
2020,2,23,10.26,5.69,7.98,12.33,-259.7,18.13,4.69
2020,2,24,9.73,5.2,7.47,11.93,-258.93,17.58,3.37
2020,2,25,9.13,2.86,5.99,11.59,-258.2,18.23,3.28
2020,2,26,8.36,3.62,5.99,10.26,-259.85,15.84,2.54
2020,2,27,8.78,5.35,7.06,10.48,-262.88,14.87,4.59
2020,2,28,10.04,6.19,8.12,11.79,-262.21,16.42,5.48
2020,2,29,10.58,7.22,8.9,12.18,-263.56,16.11,6.51
2020,3,1,9.38,6.15,7.76,10.94,-264.41,14.51,5.77
2020,3,2,10.58,4.99,7.79,13.0,-258.84,18.74,4.43
2020,3,3,10.94,5.62,8.29,13.22,-260.34,18.5,5.69
2020,3,4,10.72,6.14,8.43,12.7,-262.35,17.08,6.28
2020,3,5,10.8,6.11,8.45,12.82,-262.71,16.73,6.3
2020,3,6,10.43,6.2,8.32,12.25,-263.52,16.17,6.55
2020,3,7,10.58,5.86,8.23,12.85,-261.49,18.25,6.59
2020,3,8,11.49,5.76,8.63,13.95,-260.68,18.72,6.26
2020,3,9,9.27,5.51,7.39,11.05,-260.21,16.66,3.73
2020,3,10,9.83,3.97,6.9,12.47,-258.72,18.37,3.94
2020,3,11,9.51,3.94,6.73,12.15,-260.9,17.12,4.87
2020,3,12,8.92,4.15,6.53,10.47,-263.17,14.32,4.33
2020,3,13,10.63,5.87,8.25,12.73,-261.17,17.42,5.44
2020,3,14,10.48,6.48,8.48,12.19,-262.93,16.94,6.73
2020,3,15,9.63,6.97,8.3,10.61,-265.74,14.26,6.85
2020,3,16,9.43,5.96,7.69,10.81,-264.36,15.02,6.23
2020,3,17,9.31,5.45,7.38,10.87,-263.34,15.19,5.38
2020,3,18,9.26,5.69,7.47,10.97,-263.42,15.24,5.51
2020,3,19,10.55,6.15,8.35,12.3,-261.2,17.74,5.8
2020,3,20,8.98,4.22,6.6,11.2,-259.46,16.78,3.09
2020,3,21,8.05,3.2,5.62,10.33,-259.56,16.69,3.1
2020,3,22,8.57,4.35,6.46,10.45,-259.6,16.08,2.53
2020,3,23,9.32,5.8,7.56,11.07,-262.75,15.8,5.4
2020,3,24,9.65,5.43,7.54,10.81,-261.49,16.86,5.19
2020,3,25,10.98,6.08,8.53,12.92,-259.73,18.96,5.54
2020,3,26,10.87,6.45,8.66,12.3,-263.47,16.79,7.11
2020,3,27,9.42,7.18,8.3,10.15,-267.23,12.88,6.95
2020,3,28,9.23,6.19,7.71,10.33,-263.07,14.73,4.65
2020,3,29,8.69,6.1,7.39,9.81,-264.31,13.94,5.1
2020,3,30,9.35,6.29,7.82,10.74,-263.56,15.23,5.65
2020,3,31,8.77,6.13,7.45,9.71,-266.18,13.0,6.03
2020,4,1,8.21,5.29,6.75,9.41,-264.25,13.95,5.05
2020,4,2,8.73,5.01,6.87,10.44,-262.27,15.35,4.48
2020,4,3,9.44,5.71,7.58,11.29,-263.18,15.77,5.8
2020,4,4,10.5,5.69,8.09,12.44,-260.88,17.73,5.47
2020,4,5,10.55,5.67,8.11,12.4,-259.16,18.69,4.69
2020,4,6,10.79,6.16,8.48,12.63,-261.24,17.43,5.51
2020,4,7,7.46,4.76,6.11,8.85,-263.1,13.48,3.43
2020,4,8,8.58,4.2,6.4,10.66,-258.21,17.62,2.68
2020,4,9,9.49,4.97,7.23,11.29,-258.16,17.45,2.45
2020,4,10,10.06,5.83,7.94,11.52,-262.43,17.32,6.61
2020,4,11,9.95,5.25,7.6,11.68,-261.58,16.51,4.94
2020,4,12,9.71,5.19,7.45,11.58,-260.32,16.48,3.65
2020,4,13,11.62,5.62,8.62,13.76,-259.14,19.84,5.83
2020,4,14,11.68,4.12,7.9,13.38,-258.32,19.77,4.94
2020,4,15,9.85,4.01,6.94,11.82,-259.04,17.49,3.38
2020,4,16,8.37,1.87,5.12,10.73,-258.78,16.94,2.57
2020,4,17,8.6,4.01,6.31,10.78,-262.8,15.15,4.8
2020,4,18,8.31,3.33,5.82,10.59,-262.01,15.24,4.11
2020,4,19,8.28,2.94,5.61,10.47,-259.31,15.95,2.12
2020,4,20,9.13,3.95,6.55,11.41,-260.81,16.42,4.08
2020,4,21,9.68,4.62,7.15,11.78,-261.43,16.83,5.11
2020,4,22,9.71,3.94,6.82,11.8,-261.05,17.07,4.96
2020,4,23,10.12,5.43,7.77,11.99,-261.88,16.63,5.36
2020,4,24,8.48,5.9,7.19,9.48,-263.25,12.8,2.9
2020,4,25,9.18,3.7,6.44,11.15,-257.95,17.29,2.08
2020,4,26,9.33,5.2,7.26,11.35,-260.88,16.91,4.65
2020,4,27,9.14,5.13,7.13,10.94,-261.54,16.01,4.4
2020,4,28,9.89,5.2,7.55,11.74,-260.92,17.23,4.99
2020,4,29,9.94,5.55,7.75,11.71,-261.49,16.81,5.15
2020,4,30,9.23,5.88,7.56,10.57,-263.73,15.08,5.66
2020,5,1,9.55,5.68,7.62,11.23,-262.67,15.9,5.41
2020,5,2,9.2,5.23,7.21,10.83,-263.03,15.05,4.94
2020,5,3,9.28,5.81,7.55,10.8,-262.58,16.23,5.65
2020,5,4,8.12,3.75,5.93,9.72,-260.63,15.42,2.9
2020,5,5,7.76,3.77,5.76,9.21,-263.24,13.26,3.34
2020,5,6,9.33,4.1,6.72,11.1,-258.7,17.01,2.55
2020,5,7,8.01,5.51,6.76,9.07,-263.17,13.27,3.3
2020,5,8,8.65,4.44,6.55,10.43,-259.56,16.47,2.87
2020,5,9,9.48,5.06,7.26,11.09,-260.25,16.92,4.02
2020,5,10,10.42,5.4,7.9,12.15,-260.62,17.82,5.29
2020,5,11,9.94,4.46,7.2,11.76,-260.75,17.21,4.81
2020,5,12,7.81,1.55,4.69,9.2,-257.88,17.32,2.05
2020,5,13,9.16,2.16,5.66,10.58,-258.87,17.38,3.1
2020,5,14,8.26,5.01,6.64,9.65,-262.9,13.13,2.88
2020,5,15,7.03,2.74,4.89,8.76,-259.94,14.95,1.74
2020,5,16,8.55,3.71,6.12,10.58,-261.46,15.8,4.12
2020,5,17,8.98,3.48,6.23,11.06,-260.4,16.71,3.96
2020,5,18,8.5,2.29,5.39,10.78,-259.74,16.39,2.98
2020,5,19,8.66,2.2,5.44,10.93,-258.77,16.57,2.19
2020,5,20,7.21,3.12,5.16,8.98,-261.0,14.93,2.78
2020,5,21,8.4,3.08,5.74,10.48,-258.36,16.78,2.0
2020,5,22,9.18,4.33,6.76,10.93,-260.67,16.36,3.87
2020,5,23,10.42,5.08,7.75,12.46,-261.37,17.48,5.69
2020,5,24,8.12,3.99,6.06,9.92,-262.88,14.33,4.06
2020,5,25,8.34,1.88,5.11,9.87,-259.56,16.67,3.08
2020,5,26,6.12,-4.33,0.9,7.14,-258.57,14.45,-0.13
2020,5,27,6.08,-6.46,-0.19,6.62,-254.01,16.64,-2.49
2020,5,28,6.28,-5.43,0.43,6.87,-252.83,17.31,-3.01
2020,5,29,6.87,-2.09,2.39,7.51,-255.36,16.8,-0.99
2020,5,30,7.38,-0.32,3.53,8.46,-255.06,17.47,-0.63
2020,5,31,8.05,2.68,5.37,9.91,-259.74,15.87,2.45
2020,6,1,8.94,3.84,6.39,10.87,-261.77,15.98,4.6
2020,6,2,8.55,3.27,5.91,10.39,-259.85,16.42,3.12
2020,6,3,8.14,2.08,5.11,9.82,-260.02,15.4,2.27
2020,6,4,7.91,4.15,6.04,9.42,-261.07,14.66,2.59
2020,6,5,6.85,3.53,5.19,8.23,-263.43,12.3,2.58
2020,6,6,8.99,4.78,6.88,10.69,-261.89,15.88,4.63
2020,6,7,9.4,4.15,6.77,11.31,-261.32,16.44,4.61
2020,6,8,9.12,3.49,6.3,10.64,-262.49,15.66,5.01
2020,6,9,9.31,2.87,6.09,10.78,-258.78,17.55,3.19
2020,6,10,9.88,4.51,7.2,11.52,-261.61,16.8,5.26
2020,6,11,10.12,4.38,7.25,12.14,-261.24,17.07,5.15
2020,6,12,10.16,4.92,7.54,12.12,-260.92,17.61,5.37
2020,6,13,9.81,4.65,7.23,11.82,-261.95,16.67,5.48
2020,6,14,8.16,3.31,5.74,10.04,-263.56,14.38,4.8
2020,6,15,8.27,2.52,5.4,10.03,-260.55,15.5,2.9
2020,6,16,8.99,3.29,6.14,11.04,-261.48,16.34,4.67
2020,6,17,9.65,4.13,6.89,11.63,-259.95,17.23,4.02
2020,6,18,9.83,5.03,7.43,11.65,-261.88,16.81,5.54
2020,6,19,9.48,3.37,6.42,11.39,-260.73,16.77,4.35
2020,6,20,9.52,3.24,6.38,11.48,-261.05,17.04,4.94
2020,6,21,9.87,3.73,6.8,11.95,-260.7,17.48,5.03
2020,6,22,9.62,4.23,6.92,11.44,-262.56,16.36,5.77
2020,6,23,8.22,4.34,6.28,9.47,-261.49,15.11,3.44
2020,6,24,9.11,1.98,5.55,10.69,-258.14,17.67,2.66
2020,6,25,9.25,4.98,7.12,10.8,-262.52,15.83,5.19
2020,6,26,9.64,4.63,7.13,11.35,-262.44,16.45,5.74
2020,6,27,9.91,3.14,6.53,11.99,-258.02,18.53,3.4
2020,6,28,9.34,4.65,6.99,11.33,-261.38,16.67,4.9
2020,6,29,7.51,1.1,4.3,9.32,-260.02,15.46,2.33
2020,6,30,8.18,2.66,5.42,9.74,-259.45,15.92,2.23
2020,7,1,9.01,2.26,5.63,11.01,-261.43,16.39,4.67
2020,7,2,8.33,-0.47,3.94,9.9,-256.51,17.65,1.01
2020,7,3,7.87,-1.0,3.44,9.12,-254.48,17.69,-0.99
2020,7,4,9.93,3.65,6.8,11.79,-260.47,17.88,5.2
2020,7,5,9.16,4.23,6.69,11.07,-261.55,16.4,4.8
2020,7,6,8.46,4.27,6.37,9.9,-262.82,14.96,4.63
2020,7,7,8.7,2.2,5.45,10.67,-257.53,17.04,1.42
2020,7,8,7.96,3.39,5.67,9.8,-262.45,14.73,4.03
2020,7,9,4.87,2.47,3.67,6.14,-266.17,9.08,2.08
2020,7,10,5.65,2.46,4.05,6.72,-263.35,11.88,2.08
2020,7,11,7.19,1.28,4.23,8.24,-258.83,15.41,1.09
2020,7,12,8.49,3.95,6.23,10.08,-260.72,15.9,3.47
2020,7,13,8.26,2.62,5.44,9.65,-260.63,15.37,2.85
2020,7,14,8.42,2.86,5.64,10.14,-260.8,15.6,3.24
2020,7,15,8.77,3.26,6.01,10.92,-261.52,15.51,3.89
2020,7,16,8.95,3.68,6.32,11.27,-260.73,16.25,3.83
2020,7,17,8.96,4.03,6.49,11.01,-261.5,15.82,4.17
2020,7,18,9.11,3.51,6.31,11.17,-261.63,16.16,4.65
2020,7,19,8.97,2.51,5.74,10.77,-261.67,16.1,4.62
2020,7,20,8.44,1.15,4.8,10.4,-257.82,16.65,1.32
2020,7,21,8.4,2.9,5.65,10.28,-259.22,16.01,2.08
2020,7,22,9.2,3.99,6.59,10.75,-262.17,15.8,4.82
2020,7,23,7.66,1.62,4.65,10.06,-258.88,16.58,2.3
2020,7,24,8.17,-1.08,3.55,10.05,-258.5,16.68,2.03
2020,7,25,3.48,1.69,2.58,4.52,-268.53,6.1,1.48
2020,7,26,7.07,1.25,4.15,9.19,-258.5,15.33,0.69
2020,7,27,8.43,2.02,5.23,10.37,-257.35,17.19,1.38
2020,7,28,9.28,3.51,6.4,11.45,-260.13,17.35,4.33
2020,7,29,8.78,2.23,5.51,11.05,-260.65,16.4,3.9
2020,7,30,9.04,3.85,6.44,11.19,-260.17,17.19,4.22
2020,7,31,9.4,2.86,6.13,11.72,-258.67,18.23,3.73
2020,8,1,8.8,0.94,4.87,11.07,-258.1,17.69,2.65
2020,8,2,8.33,-0.46,3.93,10.23,-255.12,17.76,-0.27
2020,8,3,7.75,0.26,4.0,9.62,-258.31,16.65,1.8
2020,8,4,7.62,-0.49,3.57,9.46,-256.28,16.84,-0.02
2020,8,5,7.51,0.55,4.03,9.18,-256.76,16.58,0.18
2020,8,6,7.26,-0.27,3.49,8.98,-256.04,16.62,-0.49
