-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2022 
Location: Latitude  -3.9112   Longitude -70.5119 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2020,1,1,25.65,24.42,25.04,25.68,-266.31,29.43,22.58
2020,1,2,25.33,24.5,24.91,25.3,-269.97,27.14,23.96
2020,1,3,25.97,24.71,25.34,26.06,-267.06,29.34,23.26
2020,1,4,26.58,24.78,25.68,26.64,-266.6,30.12,23.58
2020,1,5,26.21,24.87,25.54,26.3,-268.85,28.76,24.47
2020,1,6,25.3,23.66,24.48,25.38,-267.85,27.73,22.43
2020,1,7,25.55,23.54,24.55,25.67,-264.49,29.82,21.16
2020,1,8,26.38,24.95,25.66,26.5,-266.85,29.64,23.33
2020,1,9,26.83,24.73,25.78,26.76,-266.83,30.08,23.76
2020,1,10,25.73,24.68,25.2,25.63,-269.35,27.83,24.04
2020,1,11,26.23,24.67,25.45,26.08,-267.02,29.47,23.34
2020,1,12,26.12,24.78,25.45,26.07,-268.16,28.9,23.91
2020,1,13,25.65,24.08,24.87,25.82,-269.07,28.05,23.98
2020,1,14,25.97,23.83,24.9,25.9,-266.77,29.38,23.01
2020,1,15,26.57,24.11,25.34,26.08,-265.92,30.05,22.81
2020,1,16,26.94,24.73,25.83,26.81,-266.11,30.4,23.37
2020,1,17,25.89,24.66,25.27,26.02,-269.15,28.2,24.2
2020,1,18,25.75,24.63,25.19,25.83,-267.88,28.72,23.44
2020,1,19,25.78,24.62,25.2,25.59,-268.06,28.43,23.33
2020,1,20,26.23,24.62,25.43,25.86,-268.06,28.94,23.86
2020,1,21,25.89,24.54,25.21,25.69,-268.55,28.49,23.88
2020,1,22,26.15,24.75,25.44,26.19,-267.64,28.95,23.44
2020,1,23,25.94,25.37,25.65,25.95,-269.67,27.8,24.31
2020,1,24,26.04,24.83,25.44,25.98,-268.88,28.37,24.1
2020,1,25,26.55,24.67,25.61,26.09,-268.42,29.01,24.28
2020,1,26,26.98,25.14,26.06,26.87,-266.51,30.32,23.68
2020,1,27,27.23,25.65,26.44,27.07,-268.13,29.94,24.92
2020,1,28,26.98,25.57,26.27,27.03,-268.02,29.74,24.62
2020,1,29,26.96,25.0,25.98,26.83,-267.6,29.97,24.41
2020,1,30,26.78,25.19,25.99,26.8,-267.81,29.64,24.3
2020,1,31,26.45,25.15,25.8,26.18,-269.2,28.58,24.63
2020,2,1,25.98,25.05,25.52,25.76,-269.01,28.16,24.02
2020,2,2,25.55,24.69,25.12,25.38,-269.67,27.48,24.0
2020,2,3,26.46,24.65,25.55,26.24,-267.16,29.73,23.74
2020,2,4,26.98,25.08,26.04,27.06,-266.5,30.57,23.92
2020,2,5,27.4,25.26,26.33,27.19,-267.34,30.53,24.72
2020,2,6,26.27,25.28,25.77,26.01,-269.68,28.42,24.95
2020,2,7,27.18,24.4,25.8,26.81,-266.81,30.32,23.98
2020,2,8,26.91,24.63,25.77,26.85,-267.77,29.78,24.4
2020,2,9,25.91,25.25,25.58,25.83,-269.32,27.62,23.8
2020,2,10,26.87,24.93,25.9,26.9,-266.4,30.61,23.86
2020,2,11,27.0,24.49,25.75,26.69,-267.13,30.12,24.1
2020,2,12,25.96,24.62,25.3,25.88,-268.3,28.4,23.55
2020,2,13,26.15,24.9,25.53,26.23,-267.65,29.19,23.69
2020,2,14,26.01,24.71,25.36,26.12,-268.24,28.94,24.04
2020,2,15,25.8,24.73,25.26,25.76,-268.01,28.9,23.76
2020,2,16,26.06,24.44,25.25,25.73,-267.96,29.28,24.09
