indicator;País__ESTANDAR;Años__ESTANDAR;value;unit;notes_ids;source_id
Tasa de migración;Anguila;1950;5.01;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1951;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1952;-7.75;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1953;-14.13;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1954;-17.47;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1955;-28.77;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1956;-31.81;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1957;-33.27;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1958;-34.33;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1959;-34.81;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1960;-20.79;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1961;-18.77;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1962;-19.27;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1963;-19.75;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1964;-20.39;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1965;-19.72;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1966;-19.22;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1967;-18.25;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1968;-17.46;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1969;-16.53;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1970;-15.93;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1971;-15.35;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1972;-14.95;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1973;-15.02;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1974;-14.34;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1975;-13.82;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1976;-14.97;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1977;-15.21;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1978;-15.92;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1979;-16.63;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1980;-16.30;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1981;-15.08;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1982;-14.01;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1983;-12.94;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1984;12.47;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1985;23.59;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1986;25.04;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1987;26.62;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1988;28.17;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1989;25.94;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1990;27.61;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1991;26.49;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1992;18.29;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1993;15.24;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1994;16.16;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1995;16.38;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1996;17.40;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1997;18.04;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1998;19.02;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;1999;20.48;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2000;23.29;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2001;11.27;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2002;8.27;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2003;9.16;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2004;9.36;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2005;9.20;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2006;7.99;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2007;8.02;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2008;8.21;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2009;8.77;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2010;9.39;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2011;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2012;1.64;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2013;20.35;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2014;28.90;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2015;18.97;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2016;10.99;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2017;7.15;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2018;6.61;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2019;11.71;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2020;8.44;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2021;7.07;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2022;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2023;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2024;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2025;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2026;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2027;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2028;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2029;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2030;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2031;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2032;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2033;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2034;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2035;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2036;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2037;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2038;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2039;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2040;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2041;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2042;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2043;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2044;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2045;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2046;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2047;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2048;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2049;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2050;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2051;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2052;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2053;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2054;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2055;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2056;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2057;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2058;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2059;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2060;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2061;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2062;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2063;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2064;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2065;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2066;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2067;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2068;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2069;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2070;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2071;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2072;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2073;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2074;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2075;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2076;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2077;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2078;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2079;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2080;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2081;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2082;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2083;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2084;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2085;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2086;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2087;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2088;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2089;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2090;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2091;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2092;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2093;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2094;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2095;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2096;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2097;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2098;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2099;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Anguila;2100;0.00;Tasa por 1.000 habitantes;;6547
Tasa de migración;Antigua y Barbuda;1950;-2.81;Tasa por 1.000 habitantes;;6547
Tasa de migración;Antigua y Barbuda;1951;-3.40;Tasa por 1.000 habitantes;;6547
