indicator;País__ESTANDAR;Años__ESTANDAR;value;unit;notes_ids;source_id
Tasa bruta de mortalidad;Anguila;1950;13.81;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1951;13.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1952;13.36;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1953;12.98;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1954;12.56;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1955;12.16;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1956;12.13;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1957;12.23;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1958;12.49;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1959;12.88;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1960;14.34;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1961;13.38;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1962;13.06;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1963;12.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1964;12.33;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1965;11.92;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1966;11.60;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1967;11.29;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1968;10.99;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1969;10.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1970;10.50;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1971;10.36;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1972;10.22;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1973;10.20;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1974;10.21;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1975;10.03;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1976;9.90;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1977;9.80;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1978;9.73;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1979;9.72;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1980;9.73;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1981;9.82;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1982;9.92;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1983;10.04;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1984;10.23;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1985;9.99;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1986;9.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1987;9.38;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1988;9.09;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1989;8.88;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1990;8.55;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1991;8.18;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1992;7.84;Tasa por 1.000 habitantes;;6547
Tasa bruta de mortalidad;Anguila;1993;7.52;Tasa por 1.000 habitantes;;6547
