indicator;País__ESTANDAR;Años__ESTANDAR;value;unit;notes_ids;source_id
Tasa bruta de natalidad;Anguila;1950;52.65;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1951;52.55;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1952;52.30;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1953;51.57;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1954;50.25;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1955;48.53;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1956;46.78;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1957;45.13;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1958;43.52;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1959;42.17;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1960;41.26;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1961;41.25;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1962;41.56;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1963;41.65;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1964;41.52;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1965;40.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1966;39.57;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1967;38.36;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1968;36.91;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1969;35.49;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1970;34.03;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1971;32.62;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1972;31.28;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1973;29.98;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1974;28.88;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1975;28.64;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1976;28.66;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1977;28.46;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1978;28.21;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1979;27.92;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1980;27.51;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1981;26.97;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1982;26.25;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1983;25.19;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1984;23.94;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1985;22.81;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1986;21.64;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1987;20.34;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1988;19.33;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1989;21.19;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1990;18.06;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1991;17.71;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1992;16.99;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1993;17.06;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1994;16.82;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1995;17.03;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1996;16.36;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1997;16.02;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1998;15.80;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;1999;15.40;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2000;14.84;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2001;16.30;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2002;13.26;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2003;12.44;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2004;12.34;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2005;12.57;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2006;13.70;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2007;13.87;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2008;13.79;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2009;13.63;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2010;13.38;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2011;13.02;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2012;12.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2013;12.40;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2014;10.56;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2015;10.72;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2016;10.63;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2017;10.40;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2018;10.09;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2019;9.90;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2020;9.72;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2021;9.57;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2022;9.45;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2023;9.14;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2024;8.92;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2025;8.76;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2026;8.57;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2027;8.43;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2028;8.28;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2029;8.19;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2030;8.09;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2031;7.96;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2032;7.86;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2033;7.80;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2034;7.74;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2035;7.73;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2036;7.67;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2037;7.67;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2038;7.67;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2039;7.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2040;7.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2041;7.68;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2042;7.63;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2043;7.63;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2044;7.63;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2045;7.62;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2046;7.60;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2047;7.52;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2048;7.48;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2049;7.40;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2050;7.30;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2051;7.21;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2052;7.12;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2053;7.00;Tasa por 1.000 habitantes;;6547
Tasa bruta de natalidad;Anguila;2054;6.87;Tasa por 1.000 habitantes;;6547
